epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
127,989.336,0.6188,0.34341,0.88893,0.92558,0.88735,0.93905,0.74557,0.78892,0.40159,0.9566,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,1955.57,0.62192,0.34406,0.88964,0.9259,0.887,0.93899,0.74554,0.78887,0.40163,0.9566,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,2920.62,0.62143,0.34316,0.88733,0.9264,0.88695,0.93899,0.74581,0.78872,0.40152,0.95658,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,3886.8,0.61683,0.34143,0.88744,0.92787,0.88574,0.93892,0.74591,0.78857,0.4015,0.95663,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,4851.77,0.61974,0.34335,0.88961,0.92829,0.88533,0.93887,0.74587,0.78856,0.40159,0.95676,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,5818.85,0.61552,0.34011,0.88817,0.92762,0.88561,0.93888,0.74603,0.78843,0.40163,0.95676,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,6784.74,0.61382,0.33944,0.88613,0.92762,0.8859,0.93892,0.74601,0.78835,0.40177,0.95671,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,7751.8,0.60853,0.33586,0.88472,0.92707,0.88656,0.93901,0.74619,0.78827,0.40162,0.9568,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,8717.85,0.61325,0.33788,0.88575,0.9275,0.88594,0.93892,0.74623,0.78814,0.40132,0.95691,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,9684.63,0.60877,0.33405,0.88545,0.928,0.88571,0.93903,0.74633,0.78804,0.40115,0.95701,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,10650.6,0.60582,0.33262,0.88416,0.92663,0.88684,0.939,0.74636,0.78803,0.40116,0.95711,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,11617.3,0.60421,0.33227,0.88389,0.92697,0.88657,0.93895,0.74657,0.78781,0.40116,0.95715,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,12584.4,0.60205,0.3312,0.88273,0.92727,0.88666,0.93893,0.74657,0.78761,0.40118,0.95723,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,13550.5,0.60258,0.33039,0.88319,0.92771,0.88637,0.93904,0.74663,0.78757,0.40105,0.95736,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,14514.2,0.60301,0.31536,0.87834,0.92824,0.88572,0.93888,0.74679,0.78747,0.4009,0.95745,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,15476.1,0.59489,0.3106,0.87399,0.92828,0.88618,0.93881,0.74689,0.78736,0.40094,0.95746,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,16438.1,0.59413,0.30902,0.87364,0.92852,0.8863,0.93882,0.74702,0.78741,0.40089,0.9576,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,17400.1,0.58811,0.30549,0.87339,0.92909,0.88625,0.93891,0.74697,0.78739,0.40072,0.95775,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,18363.4,0.5834,0.30303,0.87101,0.92953,0.88584,0.93878,0.74709,0.7873,0.40064,0.95777,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,19325.4,0.57878,0.30099,0.86947,0.92928,0.88629,0.93887,0.7471,0.78718,0.40065,0.95774,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,20289,0.57799,0.29904,0.86835,0.92938,0.88622,0.93895,0.74709,0.7871,0.40059,0.95771,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,21251.9,0.57408,0.29663,0.86703,0.92974,0.88645,0.93891,0.74714,0.78711,0.40047,0.95787,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,22216,0.57211,0.29593,0.86614,0.92989,0.88626,0.93882,0.74732,0.78702,0.40054,0.95796,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,23177.4,0.56901,0.29329,0.86658,0.92882,0.88727,0.93892,0.7474,0.78703,0.40046,0.95811,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
