epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1311.39,1.0681,0.8796,1.03428,0.82106,0.75913,0.83077,0.55639,1.10631,0.74655,1.0481,0.00999716,0.00333239,0.00999716,0.00333239,0.00999716,0.00333239,0.00999716,0.00333239
2,2373.26,1.10956,0.82755,1.06249,0.85913,0.73849,0.82513,0.55424,1.12582,0.74509,1.08615,0.0198652,0.00662172,0.0198652,0.00662172,0.0198652,0.00662172,0.0198652,0.00662172
3,3376.17,1.16188,0.90558,1.09695,0.83621,0.73847,0.81553,0.54289,1.15427,0.78389,1.11119,0.0296012,0.00986706,0.0296012,0.00986706,0.0296012,0.00986706,0.0296012,0.00986706
4,4362.67,1.14552,0.88927,1.10103,0.85842,0.7545,0.84503,0.57609,1.09341,0.71375,1.07744,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,5354.9,1.08879,0.80679,1.07795,0.87467,0.78038,0.86251,0.60225,1.05814,0.66408,1.05944,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,6354.37,1.04542,0.75389,1.05858,0.87279,0.80142,0.87411,0.61435,1.02409,0.62916,1.05467,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,7353.22,1.01619,0.71884,1.04492,0.89205,0.79413,0.87934,0.6245,1.00579,0.61018,1.04262,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,8349.02,0.98774,0.68793,1.03167,0.88401,0.81825,0.89089,0.64103,0.9867,0.58527,1.03293,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,9344.69,0.97876,0.67136,1.02734,0.89664,0.81932,0.89574,0.64813,0.96359,0.57123,1.02329,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,10339.9,0.9606,0.65314,1.02038,0.89308,0.82258,0.89928,0.65039,0.9643,0.55507,1.027,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,11329.3,0.94557,0.63718,1.01188,0.89828,0.82793,0.8992,0.6553,0.95213,0.54784,1.01742,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,12317,0.93576,0.62686,1.00993,0.89923,0.8326,0.90206,0.66264,0.94315,0.5409,1.0125,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,13304.6,0.92362,0.61475,1.00509,0.90655,0.84024,0.91015,0.67139,0.92779,0.52512,1.01156,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,14291.7,0.92041,0.60793,1.00315,0.89847,0.84156,0.90702,0.67337,0.92032,0.52076,1.00265,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,15279.1,0.90495,0.59456,0.99543,0.90503,0.84467,0.91065,0.67835,0.91152,0.51356,1.0027,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,16268.5,0.90036,0.58802,0.99558,0.90623,0.84695,0.91451,0.68259,0.90471,0.50553,0.99991,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,17252.8,0.8922,0.58184,0.99221,0.90441,0.85258,0.91599,0.68594,0.89951,0.49834,0.99881,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,18234.8,0.88622,0.57506,0.98932,0.9079,0.85223,0.91692,0.68896,0.89334,0.49511,0.99584,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,19222.1,0.88047,0.57314,0.98837,0.90777,0.85555,0.91899,0.69208,0.88901,0.48745,0.99159,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,20207.5,0.87208,0.56374,0.98275,0.90675,0.85485,0.91891,0.69388,0.8806,0.48534,0.98847,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,21197.5,0.86694,0.55932,0.98318,0.90873,0.85846,0.91993,0.6958,0.88178,0.48032,0.98923,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,22188.3,0.86357,0.55427,0.97922,0.9142,0.85671,0.9219,0.69967,0.87325,0.47363,0.98465,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,23172.9,0.8575,0.54514,0.97569,0.90668,0.86342,0.92286,0.70049,0.87276,0.46867,0.9839,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,24153.6,0.85183,0.54223,0.97441,0.90801,0.86277,0.9238,0.70195,0.868,0.46778,0.98,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,25133.8,0.84755,0.53814,0.97253,0.91189,0.86293,0.92531,0.70541,0.86363,0.46117,0.97997,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,26114.5,0.84415,0.53737,0.97407,0.91272,0.86579,0.92611,0.70788,0.85785,0.4568,0.97989,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,27095.3,0.84031,0.53136,0.97146,0.91486,0.86654,0.92793,0.70978,0.85567,0.45303,0.97948,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,28076.4,0.83644,0.52755,0.9692,0.91332,0.8677,0.92767,0.71067,0.85158,0.4516,0.97705,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,29055.2,0.83188,0.52668,0.96783,0.91892,0.86216,0.92814,0.71237,0.84713,0.4496,0.97442,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,30035.1,0.829,0.52342,0.96644,0.91713,0.86632,0.93027,0.71416,0.84554,0.44729,0.97465,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,31015.6,0.82488,0.52073,0.96464,0.91614,0.86878,0.92986,0.71549,0.84272,0.44606,0.97368,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,31995.5,0.82124,0.51767,0.96154,0.91771,0.86982,0.9304,0.71713,0.84096,0.44366,0.97194,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,32976,0.81998,0.51335,0.96122,0.91827,0.87145,0.93162,0.7182,0.83753,0.44083,0.96988,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,33956.2,0.81427,0.50875,0.96059,0.91608,0.87412,0.93105,0.71895,0.83577,0.43908,0.96956,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,34940.6,0.81094,0.50786,0.96069,0.91531,0.87469,0.93163,0.71947,0.83461,0.43667,0.97043,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,35939.7,0.80996,0.5045,0.95813,0.91518,0.87472,0.93143,0.71978,0.83263,0.43556,0.96925,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,36928.3,0.80803,0.50188,0.95709,0.918,0.87337,0.93181,0.72098,0.83089,0.43496,0.96907,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,37914.2,0.80456,0.49792,0.95707,0.92018,0.87252,0.93233,0.72192,0.82914,0.43359,0.96844,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,38909.4,0.80396,0.5,0.95623,0.92103,0.87324,0.93247,0.72269,0.82698,0.43152,0.96734,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,39899.8,0.79952,0.49717,0.95446,0.92033,0.87437,0.9328,0.72393,0.82582,0.43041,0.96704,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,40889.9,0.79537,0.49244,0.95336,0.91926,0.8756,0.93352,0.72454,0.8242,0.42973,0.9669,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
